2025-12-24 15:52:41 | INFO     | setup_logging:273 | ================================================================================
2025-12-24 15:52:41 | INFO     | setup_logging:274 | JUDGE SWAP NULL HYPOTHESIS TEST - RUN STARTED
2025-12-24 15:52:41 | INFO     | setup_logging:275 | ================================================================================
2025-12-24 15:52:41 | INFO     | setup_logging:276 | User: anonymous
2025-12-24 15:52:41 | INFO     | setup_logging:277 | Hostname: babel-x9-16
2025-12-24 15:52:41 | INFO     | setup_logging:278 | Timestamp: 20251224_155241
2025-12-24 15:52:42 | INFO     | setup_logging:279 | CUDA available: True
2025-12-24 15:52:42 | INFO     | setup_logging:281 | CUDA devices: 8
2025-12-24 15:52:42 | INFO     | setup_logging:283 |   Device 0: NVIDIA RTX 6000 Ada Generation
2025-12-24 15:52:42 | INFO     | setup_logging:283 |   Device 1: NVIDIA RTX 6000 Ada Generation
2025-12-24 15:52:42 | INFO     | setup_logging:283 |   Device 2: NVIDIA RTX 6000 Ada Generation
2025-12-24 15:52:42 | INFO     | setup_logging:283 |   Device 3: NVIDIA RTX 6000 Ada Generation
2025-12-24 15:52:42 | INFO     | setup_logging:283 |   Device 4: NVIDIA RTX 6000 Ada Generation
2025-12-24 15:52:42 | INFO     | setup_logging:283 |   Device 5: NVIDIA RTX 6000 Ada Generation
2025-12-24 15:52:42 | INFO     | setup_logging:283 |   Device 6: NVIDIA RTX 6000 Ada Generation
2025-12-24 15:52:42 | INFO     | setup_logging:283 |   Device 7: NVIDIA RTX 6000 Ada Generation
2025-12-24 15:52:42 | INFO     | setup_logging:284 | Log file: judge_swap_null_dbg_results/truthfulness/file_logs/judge_swap_null_dbg_results_20251224_155241.log
2025-12-24 15:52:42 | INFO     | setup_logging:285 | ================================================================================
2025-12-24 15:52:42 | INFO     | main:600 | Configuration:
2025-12-24 15:52:42 | INFO     | main:601 |   Proxy data dir: dbg-score-paper/proxy_preference_data
2025-12-24 15:52:42 | INFO     | main:602 |   Dataset: truthfulness
2025-12-24 15:52:42 | INFO     | main:603 |   Output dir: judge_swap_null_dbg_results/truthfulness
2025-12-24 15:52:42 | INFO     | main:604 |   Batch size: 1
2025-12-24 15:52:42 | INFO     | main:605 |   Max examples: 200
2025-12-24 15:52:42 | INFO     | load_proxy_data:339 | Skipping base model judge: Llama-3.1-70B (base models cannot judge)
2025-12-24 15:52:42 | INFO     | load_proxy_data:339 | Skipping base model judge: Llama-3.1-8B (base models cannot judge)
2025-12-24 15:52:42 | DEBUG    | load_proxy_data:361 | Loaded gemma-2-9b-it vs Llama-3.1-8B vs gemma-2-9b: 92 LSP, 46 ILSP
2025-12-24 15:52:42 | DEBUG    | load_proxy_data:361 | Loaded Llama-3.1-8B-Instruct vs Llama-3.1-70B vs Llama-3.1-70B-Instruct: 25 LSP, 123 ILSP
2025-12-24 15:52:42 | DEBUG    | load_proxy_data:361 | Loaded Llama-3.1-8B-Instruct vs Qwen2.5-72B-Instruct vs Llama-3.1-70B-Instruct: 36 LSP, 90 ILSP
2025-12-24 15:52:42 | INFO     | load_proxy_data:344 | Skipping large model: Llama-3.1-70B-Instruct
